Criterion,x[m],y[m],N[kN/m],M[kNm/m],w_k[mm]
max My,23.246,10.185,-168.2,67.8,0.0287499913301997
max Ny,23.246,10.415,-87.3,22.7,0.00576770450936838
min My,23.246,10.415,-106.7,17.2,0.00121548448324677
max My,23.246,10.415,-197.6,72.6,0.028389752060274
max Ny,22.554,10.415,4.7,7.3,0.00682025923237028
min My,22.554,10.415,-34,6,0.000602113223410447
max My,22.554,10.415,-62.8,24.4,0.0100326306872947
max Ny,22.554,10.585,57.1,13.6,0.0221842602085142
min My,22.554,10.585,53.7,9.3,0.0183172421231588
max My,22.554,10.585,-18.4,28.3,0.0200210263375225
max Ny,23.246,10.585,-92.9,11.5,6.53487463699478E-05
min My,23.246,10.585,-111.6,5.7,0
max My,23.246,10.585,-213.2,51.7,0.011631701967501
max Ny,23.246,10.815,-118.7,26.5,0.00505443756075518
min My,23.246,10.815,-150.7,16,0
max My,23.246,10.815,-282.5,59.5,0.00994113118138565
max Ny,22.554,10.815,107.1,14.1,0.0337424372093507
min My,22.554,10.815,27.1,5,0.0094590556833687
max My,22.554,10.815,105.3,14.3,0.0334030414911732
max Ny,23.606,7.603,194,-179.4,0.200716469145364
min My,23.606,7.603,192.2,-183.6,0.206061102370533
max My,23.606,7.603,-43.5,123.1,0.09329297742288
max Ny,23.894,7.603,163.2,-179.7,0.192652616572173
min My,23.894,7.603,159.3,-193.3,0.210450206881456
max My,23.894,7.603,3.9,127.4,0.10505017284558
max Ny,23.894,7.747,136.7,-159.4,0.157234625723687
min My,23.894,7.747,133.4,-169.9,0.170941861744049
max My,23.894,7.747,-7.9,117.4,0.0947897572003911
max Ny,23.606,7.747,181.9,-158.5,0.168237374088075
min My,23.606,7.747,180.3,-162.2,0.172967963842332
max My,23.606,7.747,-42.8,114.6,0.0864561521111144
max Ny,23.606,8.159,134.7,-114.4,0.118132735498442
min My,23.606,8.159,132.5,-117.8,0.120487254936688
max My,23.606,8.159,-60,88.5,0.0621970665221408
max Ny,23.894,8.159,107.9,-93.4,0.0960607014154462
min My,23.894,8.159,105.7,-97.9,0.0993117869750981
max My,23.894,8.159,-21,94.7,0.0739175720940106
max Ny,23.894,9.141,52.7,-3.2,0
min My,23.894,9.141,35.4,-16,0.0196825001854004
max My,23.894,9.141,-8.3,43.9,0.034514512099195
max Ny,23.606,9.141,188.8,50,0.0771781601349415
min My,23.606,9.141,116.2,10.6,0
max My,23.606,9.141,42.4,79.9,0.0730092113628056
max Ny,23.606,9.627,71.6,-0.7,0
min My,23.606,9.627,-158.1,-27,0.00240807844801739
max My,23.606,9.627,-42.3,7.2,0.000634208591674547
max Ny,23.894,9.627,-6.1,4,0.00226209442859967
min My,23.894,9.627,-36.4,-26,0.0152137001847947
max My,23.894,9.627,-15.5,10.3,0.00585729527571283
max Ny,23.894,9.973,-17.1,-12.5,0.00737752930660033
min My,23.894,9.973,-39,-32.2,0.0198099426322757
max My,23.894,9.973,-84.1,14.6,0.00138288349007815
max Ny,23.606,9.973,-71.5,-29.9,0.0130541956736857
min My,23.606,9.973,-164.4,-56.3,0.02053741233547
max My,23.606,9.973,-137.9,-25.1,0.00279318723216444
max Ny,23.606,10.185,-41.4,21.7,0.0110011261725634
min My,23.606,10.185,-137.9,3.8,0
max My,23.606,10.185,-87.1,38.9,0.0178276340997202
max Ny,23.894,10.185,16.9,-44.8,0.0396984857488472
min My,23.894,10.185,11.6,-50.6,0.043500655505436
max My,23.894,10.185,-131.7,66.2,0.0327555517617676
