Criterion,x[m],y[m],N[kN/m],M[kNm/m],w_k[mm]
min My,30.254,9.627,-43.3,-54,0.0368340669319545
max My,30.254,9.627,-1.3,-13.2,0.0105859024281741
max Ny,30.946,9.627,38.9,-25.2,0.0277587770356442
min My,30.946,9.627,28.4,-30.6,0.0301825762680276
max My,30.946,9.627,-1.2,-6.5,0.0051153671384293
max Ny,30.946,9.973,-9.7,-20.5,0.0151165323611726
min My,30.946,9.973,-164.3,-33.5,0.00516485911613943
max My,30.946,9.973,-26,-13,0.00641196888047256
max Ny,30.254,9.973,-4.9,-16,0.0122553754849261
min My,30.254,9.973,-33,-36.1,0.0239538085793849
max My,30.254,9.973,-66.7,19.4,0.00582602340070861
max Ny,30.254,10.185,6.8,-22.4,0.0195539369903035
min My,30.254,10.185,-1.3,-37.3,0.0303280041534318
max My,30.254,10.185,-37.6,68.6,0.049712561496093
max Ny,30.946,10.185,-30.4,5.5,0.000600171323361464
min My,30.946,10.185,-238.2,-32.3,0.000791464412099307
max My,30.946,10.185,-44.5,15.6,0.00582862690364251
max Ny,30.946,10.415,-17.7,10.5,0.0056768579085455
min My,30.946,10.415,-248.1,-35.6,0.00135440167790668
max My,30.946,10.415,-31,19.9,0.0111522941744376
max Ny,30.254,10.415,46.9,94.7,0.085926941974785
min My,30.254,10.415,34.9,-6.9,0.0125123651692124
max My,30.254,10.415,-22.9,199,0.169798151537455
max Ny,30.254,10.585,128,156.7,0.15135489502821
min My,30.254,10.585,69.1,68.2,0.0683424146672494
max My,30.254,10.585,93.1,199.2,0.200604960514928
max Ny,30.946,10.585,-27.1,-50.5,0.0366940893560233
min My,30.946,10.585,-77.1,-70.5,0.0447108560478861
max My,30.946,10.585,-222,-24.9,0
max Ny,30.946,10.815,-47.6,-39.8,0.0245828216972095
min My,30.946,10.815,-93.6,-59.9,0.033524125328391
max My,30.946,10.815,-274.3,-21.9,0
max Ny,30.254,10.815,180,50.7,0.0759111645924605
min My,30.254,10.815,135.8,24.3,0.0468667959467787
max My,30.254,10.815,60.2,62.8,0.0622968650846018
max Ny,31.58,7.603,69.8,-20.9,0.0303965580332841
min My,31.58,7.603,53.2,-138,0.122490357041103
max My,31.58,7.603,-19.1,170.5,0.136332112912163
max Ny,32.62,7.603,51.7,-57.3,0.0562454248302232
min My,32.62,7.603,41,-134.1,0.117113729604379
max My,32.62,7.603,-48.4,148.4,0.113160770991125
max Ny,32.62,7.747,56.8,-46.9,0.0487249867151415
min My,32.62,7.747,46.6,-114.1,0.101745672498496
max My,32.62,7.747,-51.2,141.2,0.106786640569673
max Ny,31.58,7.747,60.3,-15.5,0.0242908349048347
min My,31.58,7.747,44.1,-124,0.109399974898866
max My,31.58,7.747,-18.3,155.4,0.124102775394154
max Ny,31.58,8.159,88.7,-4.4,0
min My,31.58,8.159,76.1,-76.1,0.0760729549230676
max My,31.58,8.159,-21.1,122.1,0.0963403769143399
max Ny,32.62,8.159,75.6,-24,0.0339843273858453
min My,32.62,8.159,65.3,-69.7,0.0688619613676224
max My,32.62,8.159,-36.5,112.3,0.0856548009416906
max Ny,32.62,9.141,64.7,14.9,0.0247533086700776
min My,32.62,9.141,55.1,-6.8,0
max My,32.62,9.141,-19,56.6,0.0430668828187742
max Ny,31.58,9.141,117.8,49.7,0.0626707093951911
min My,31.58,9.141,-17.4,7.8,0.0035840237359413
max My,31.58,9.141,105.9,67.9,0.0750005623758587
max Ny,31.58,9.627,90.4,6.3,0
min My,31.58,9.627,9.1,-14.4,0.013422525925178
max My,31.58,9.627,59.2,36.8,0.0409912719886304
max Ny,32.62,9.627,32.7,22.5,0.0243999154525151
min My,32.62,9.627,-9.4,2.8,0.000867945283492449
max My,32.62,9.627,22.1,39.8,0.0365447905591856
max Ny,32.62,9.973,29.4,13.3,0.0163559637121991
min My,32.62,9.973,-2.5,-0.1,0
max My,32.62,9.973,19.3,34.2,0.0314588689794234
max Ny,31.58,9.973,-12.8,-10.2,0.00620370339856261
min My,31.58,9.973,-36.5,-17.8,0.00864644428933025
max My,31.58,9.973,-108,15.3,0.000533231151109644
max Ny,31.58,10.185,-2.8,-3.2,0.00214398094088874
min My,31.58,10.185,-13.7,-7.2,0.00365559917492943
max My,31.58,10.185,-130.4,35,0.00935448744282765
max Ny,32.62,10.185,105.9,16.4,0.0348171022893571
min My,32.62,10.185,14.4,0.5,0
max My,32.62,10.185,96.8,25.8,0.0396961436045647
max Ny,32.62,10.415,95.5,11.5,0
min My,32.62,10.415,18,0.2,0
max My,32.62,10.415,85.4,15.4,0.0295562677700198
max Ny,31.58,10.415,-14.6,-0.2,0
min My,31.58,10.415,-43.4,-7.9,0.000879312976123728
max My,31.58,10.415,-120.5,22.5,0.00271280024733628
max Ny,31.58,10.585,-6.8,-11.9,0.0085766610615075
min My,31.58,10.585,-31.2,-19.4,0.0107202566389083
max My,31.58,10.585,-77.9,8.8,0
max Ny,32.62,10.585,62.8,9.6,0.0205659854685608
min My,32.62,10.585,9.2,3,0.00419771969451538
max My,32.62,10.585,58.9,11.6,0.0210842618280322
max Ny,32.62,10.815,71.6,5.7,0
min My,32.62,10.815,52,2.8,0
max My,32.62,10.815,19.4,6.8,0.00922381317228351
max Ny,31.58,10.815,13.8,18.8,0.0178736797945726
min My,31.58,10.815,-66.5,11.3,0.000989006830729664
max My,31.58,10.815,-20.1,35.3,0.0254537647024286
max Ny,33.254,7.603,57.9,-32.5,0.0372738007323148
min My,33.254,7.603,41.8,-127.3,0.111689682758625
max My,33.254,7.603,-29.8,141.1,0.110392684024543
max Ny,33.946,7.603,29,-24.3,0.025165328817649
min My,33.946,7.603,10.9,-111.2,0.0930126329111647
max My,33.946,7.603,-49.4,142.3,0.107995783860568
max Ny,33.946,7.747,42.7,-18.3,0.0229437078443562
min My,33.946,7.747,26,-97,0.0840605842500309
max My,33.946,7.747,-39.6,133.7,0.102640661385714
max Ny,33.254,7.747,56.1,-23.6,0.0297910401168115
min My,33.254,7.747,41.3,-110,0.0974388954569818
max My,33.254,7.747,-27.5,136.6,0.107105816951186
max Ny,33.254,8.159,62.6,-15.9,0.025071590392356
min My,33.254,8.159,53.1,-60.3,0.0589495620182344
max My,33.254,8.159,-38.6,107.2,0.0811196825236611
max Ny,33.946,8.159,46.8,-6.8,0.0151040328523079
min My,33.946,8.159,35.3,-60.4,0.0557790732113761
max My,33.946,8.159,-34.7,107.1,0.0817074845828801
max Ny,33.946,9.141,35.6,11.4,0.0160800963047756
min My,33.946,9.141,29.1,-13.1,0.0161377019443596
max My,33.946,9.141,-12.4,47,0.0363438004033054
max Ny,33.254,9.141,48.8,11,0.0184918280034243
min My,33.254,9.141,41.7,-9.4,0.0158017247077473
max My,33.254,9.141,-15,54.3,0.0418723988170515
max Ny,33.254,9.627,28.6,10.1,0.0136572603930359
min My,33.254,9.627,23.7,-0.1,0
max My,33.254,9.627,-8.8,33.8,0.0261568785200729
max Ny,33.946,9.627,24.5,8.1,0.0112655555308625
min My,33.946,9.627,17.4,-1.9,0
max My,33.946,9.627,-11.1,23.7,0.0174956148576456
max Ny,33.946,9.973,11.7,7.1,0.00796161047918454
min My,33.946,9.973,-16.5,-3.5,0.000594763454419404
max My,33.946,9.973,8.5,14.8,0.0136405871945892
max Ny,33.254,9.973,80,8.1,0
min My,33.254,9.973,13.1,2,0.00428840256535172
max My,33.254,9.973,71.4,20.3,0.0302573612721613
max Ny,33.254,10.185,-7.2,2.8,0.00115218742074549
min My,33.254,10.185,-22.9,-5.5,0.00121538266094904
max My,33.254,10.185,-32.8,12.8,0.00528287477807788
max Ny,33.946,10.185,47.6,3.8,0
min My,33.946,10.185,38.3,-4.4,0
max My,33.946,10.185,0.8,10.2,0.00849648376795093
max Ny,33.946,10.415,49.1,1.4,0
min My,33.946,10.415,9.9,-5.5,0.00632733241406244
max My,33.946,10.415,39.7,7.2,0.013768737857071
max Ny,33.254,10.415,-2.2,0.4,4.43568412598658E-05
min My,33.254,10.415,-8.8,-2.8,0.000941658774510459
max My,33.254,10.415,-52.3,7.4,0.000255646051682703
max Ny,33.254,10.585,-3.2,0.9,0.000257917474372539
min My,33.254,10.585,-7.2,-0.5,0
max My,33.254,10.585,-29.6,7,0.00150178001834815
max Ny,33.946,10.585,25.6,0.9,0
min My,33.946,10.585,14.6,-3.5,0.00568938072342816
max My,33.946,10.585,15.4,4.3,0.00646556803125508
max Ny,33.946,10.815,15.7,0.1,0
min My,33.946,10.815,-3.6,-1.5,0.000653053428941012
max My,33.946,10.815,5.6,1.6,0.0023791871111259
max Ny,33.254,10.815,-5.4,-8.8,0.0062797267604796
min My,33.254,10.815,-20.8,-16.3,0.00985859598337273
max My,33.254,10.815,-38.6,-5.2,0.000119757311226205
max Ny,34.454,7.603,28.7,-9.2,0.012970913906664
min My,34.454,7.603,7.2,-106.5,0.0885100776074378
max My,34.454,7.603,-45.1,149.3,0.114465236798675
max Ny,35.146,7.603,100.2,21.7,0.0373096469783112
min My,35.146,7.603,66.7,-100.9,0.0945851433010634
max My,35.146,7.603,46.3,146.4,0.128130762730067
max Ny,35.146,7.747,78.2,19,0.0306648019444413
min My,35.146,7.747,46.1,-90.6,0.0824289365145735
max My,35.146,7.747,30,131.7,0.113187897150751
max Ny,34.454,7.747,37.5,-5.6,0.0121964013352183
min My,34.454,7.747,16.6,-95.4,0.0810791606317072
max My,34.454,7.747,-37.2,138.9,0.107311916314264
max Ny,34.454,8.159,36.6,11.3,0.0162038503149418
min My,34.454,8.159,17.5,-58.2,0.0507753402679348
max My,34.454,8.159,-18,106.1,0.0837740960061486
max Ny,35.146,8.159,66.8,26.3,0.0340413824174037
min My,35.146,8.159,36.8,-55.5,0.0520468510729354
max My,35.146,8.159,17.5,106,0.0899205512520849
max Ny,35.146,9.141,37.8,23.3,0.0260140976239845
min My,35.146,9.141,-4.6,-10.5,0.0078053663088894
max My,35.146,9.141,14.5,39,0.0345209262566943
max Ny,34.454,9.141,19.4,21,0.0206968953257471
min My,34.454,9.141,3.7,-11.5,0.0100761867382273
max My,34.454,9.141,-10,40.4,0.0313539562182839
max Ny,34.454,9.627,46.9,6.7,0.0150671186740395
min My,34.454,9.627,-14.3,-6.4,0.00293741245652588
max My,34.454,9.627,36.4,11.6,0.0163975434538676
max Ny,35.146,9.627,19.9,-0.3,0
min My,35.146,9.627,-88.8,-12,0.000284737999037406
max My,35.146,9.627,16.8,1,0
max Ny,35.146,9.973,-4.1,-0.1,0
min My,35.146,9.973,-107.4,-15.7,0.000672317590245882
max My,35.146,9.973,-21.8,4.2,0.000555505508017067
max Ny,34.454,9.973,20.7,2.2,0
min My,34.454,9.973,-24.3,-13.7,0.00722274886013552
max My,34.454,9.973,14.4,9.5,0.010414444016424
max Ny,34.454,10.185,-8.6,1.3,6.74052495978225E-05
min My,34.454,10.185,-36.8,-15.1,0.0064953494335641
max My,34.454,10.185,-21,11,0.00557453660501358
max Ny,35.146,10.185,-10.4,0.8,0
min My,35.146,10.185,-86.9,-9.3,0
max My,35.146,10.185,-47.3,15.5,0.00539146817986614
max Ny,35.146,10.415,-31.5,2.2,0
min My,35.146,10.415,-115.7,-10.3,0
max My,35.146,10.415,-51.6,14.8,0.00436029504361754
max Ny,34.454,10.415,-19.7,3.8,0.000504338484946805
min My,34.454,10.415,-49.5,-12.8,0.00322272868662428
max My,34.454,10.415,-28,10.4,0.00410814762978378
max Ny,34.454,10.585,11.1,-2,0.00384046881540966
min My,34.454,10.585,-15,-10.8,0.00633849354951339
max My,34.454,10.585,-31.8,5.9,0.00069753525293863
max Ny,35.146,10.585,-50,4.5,0
min My,35.146,10.585,-183.6,-8.4,0
max My,35.146,10.585,-81.2,14.5,0.00151509169967357
max Ny,35.146,10.815,-58.2,-0.3,0
min My,35.146,10.815,-192.9,-14,0
max My,35.146,10.815,-74.7,7.3,0
max Ny,34.454,10.815,21.4,2.2,0
min My,34.454,10.815,-7,-10.2,0.0071542680286024
max My,34.454,10.815,-19.1,4,0.000659192660320227
max Ny,35.527,7.603,129.6,29.5,0.0493239153755277
min My,35.527,7.603,88.3,-102.7,0.100006818429352
max My,35.527,7.603,74.3,138.8,0.126945969897719
max Ny,35.873,7.603,24.8,3.1,0
min My,35.873,7.603,-5.7,-115.1,0.093290342048795
max My,35.873,7.603,-26.9,126,0.0985288056809223
max Ny,35.873,7.747,48,16.7,0.0227236210561438
min My,35.873,7.747,20.1,-91.4,0.0784245440860903
max My,35.873,7.747,-8.2,125.3,0.101208761750074
max Ny,35.527,7.747,109.8,30.1,0.0456685882786468
min My,35.527,7.747,68.5,-90.4,0.0863375118966545
max My,35.527,7.747,61.4,127.8,0.11561907144662
max Ny,35.527,8.159,72.2,27.8,0.0362968830146857
min My,35.527,8.159,39.4,-58,0.0545629469632333
max My,35.527,8.159,25.1,105.1,0.0905330922658757
max Ny,35.873,8.159,46.8,23.6,0.0279812469343782
min My,35.873,8.159,13.2,-61.3,0.0525477620241987
max My,35.873,8.159,5.5,100.9,0.0836232905991484
max Ny,35.873,9.141,102.3,35.2,0.0481214845904616
min My,35.873,9.141,-4.5,7.3,0.00520587272172039
max My,35.873,9.141,94,41.9,0.0517962681793956
max Ny,35.527,9.141,63.1,26.6,0.0335522849684266
min My,35.527,9.141,19,-2.9,0.00621933071326334
max My,35.527,9.141,17.6,35.8,0.0324600294505853
max Ny,35.527,9.627,11.3,-3.4,0.00493373345007993
min My,35.527,9.627,-173.9,-22,0.00021677404790226
max My,35.527,9.627,1.5,0,0
max Ny,35.873,9.627,55.1,-6.7,0
min My,35.873,9.627,-149.7,-35.8,0.00784699835042201
max My,35.873,9.627,38.5,-3.2,0
max Ny,35.873,9.973,105,1.1,0
min My,35.873,9.973,-30.9,-10.9,0.00409802256084574
max My,35.873,9.973,59.2,16.2,0.0246006350959027
max Ny,35.527,9.973,13.2,-0.6,0
min My,35.527,9.973,-105.9,-14.2,0.000312314081573429
max My,35.527,9.973,-61.7,7.9,9.67131869766582E-05
max Ny,35.527,10.185,-13.1,6.7,0.00334921873380493
min My,35.527,10.185,-130.2,-7.3,0
max My,35.527,10.185,-35.6,16.3,0.00759976611310583
max Ny,35.873,10.185,15.7,-5.4,0.00738352238503701
min My,35.873,10.185,-364.1,-31.5,0
max My,35.873,10.185,-60,-3.6,0
max Ny,35.873,10.415,95.7,18.1,0.0337192321380832
min My,35.873,10.415,-52.2,3.3,0
max My,35.873,10.415,-193.6,59.5,0.0191914636876404
max Ny,35.527,10.415,-49,10.6,0.00188539890890951
min My,35.527,10.415,-176.2,-1.9,0
max My,35.527,10.415,-84.3,26.9,0.00907711284860652
max Ny,35.527,10.585,54.3,8.3,0.017781963630062
min My,35.527,10.585,-61.1,-0.4,0
max My,35.527,10.585,-24.9,21.8,0.0136539723257684
max Ny,35.873,10.585,-136.9,28.8,0.00479829451960474
min My,35.873,10.585,-273.3,14.6,0
max My,35.873,10.585,-232.5,56,0.0124412804384064
max Ny,35.873,10.815,-159.3,1.6,0
min My,35.873,10.815,-347.6,-5.9,0
max My,35.873,10.815,-262.3,3.9,0
max Ny,35.527,10.815,76.8,-6.4,0
min My,35.527,10.815,-3.5,-11.5,0.00881231639462864
max My,35.527,10.815,43.3,3.9,0
max Ny,36.127,7.603,30.4,1.7,0
min My,36.127,7.603,1.9,-118,0.096998325173023
max My,36.127,7.603,-22.7,124.7,0.0981921362879507
max Ny,36.473,7.603,147.7,22.1,0.0480649256373982
min My,36.473,7.603,112.8,-112,0.112108310535916
max My,36.473,7.603,85.6,131.7,0.123191732106112
max Ny,36.473,7.747,111.8,20.2,0.0387208057550945
min My,36.473,7.747,80,-96.1,0.0930974896250226
max My,36.473,7.747,52.6,118.8,0.106670480302254
max Ny,36.127,7.747,45.8,14.3,0.0204013243734547
min My,36.127,7.747,19.1,-93.7,0.0801304712447313
max My,36.127,7.747,-9.2,123.2,0.0993137798159717
max Ny,36.127,8.159,49.5,23.8,0.028664052657655
min My,36.127,8.159,17,-62.1,0.0538793313130087
max My,36.127,8.159,6.5,98.6,0.0819153091728781
max Ny,36.473,8.159,83.7,27.8,0.0385869641310244
min My,36.473,8.159,57.9,-59.8,0.059427301341538
max My,36.473,8.159,29.4,97.6,0.0851584749406846
max Ny,36.473,9.141,48.1,26.7,0.0307239913715775
min My,36.473,9.141,15,3.3,0.00562349612517591
max My,36.473,9.141,19.5,40.4,0.0365656631258154
max Ny,36.127,9.141,98.8,35.9,0.0479753397303006
min My,36.127,9.141,-0.6,9.7,0.00784107839484756
max My,36.127,9.141,91.5,43.8,0.0528296989655977
max Ny,36.127,9.627,57.6,-5.8,0
min My,36.127,9.627,-142.9,-34.5,0.00769853043161781
max My,36.127,9.627,41.2,-1.2,0
max Ny,36.473,9.627,27,-2.7,0
min My,36.473,9.627,-161.6,-18.9,0
max My,36.473,9.627,15.1,0.1,0
max Ny,36.473,9.973,13.7,-0.1,0
min My,36.473,9.973,-133.2,-16.2,3.93996734984867E-05
max My,36.473,9.973,-82.1,6.1,0
max Ny,36.127,9.973,105.5,0.9,0
min My,36.127,9.973,-37.4,-11.4,0.00363943732741931
max My,36.127,9.973,53.2,16.4,0.0235335559458164
max Ny,36.127,10.185,11.5,-6.1,0.00711744728737272
min My,36.127,10.185,-377.8,-31.8,0
max My,36.127,10.185,-74.4,-3.9,0
max Ny,36.473,10.185,-2.2,6.2,0.00469719174333599
min My,36.473,10.185,-143.9,-7.7,0
max My,36.473,10.185,-44.1,20.9,0.0099697349205035
max Ny,36.473,10.415,-33.1,11.4,0.00418318610110669
min My,36.473,10.415,-185.8,-0.5,0
max My,36.473,10.415,-86.3,27.4,0.00919154230784437
max Ny,36.127,10.415,85.4,19.3,0.0323980529888623
min My,36.127,10.415,-66.4,3.5,0
max My,36.127,10.415,-209.7,59.6,0.0173363760726248
max Ny,36.127,10.585,-141.4,28.6,0.00431904989133542
min My,36.127,10.585,-265.7,16.1,0
max My,36.127,10.585,-233.1,56.7,0.0128294023540329
max Ny,36.473,10.585,39.1,7.4,0.0137801288176141
min My,36.473,10.585,-82.5,-5.4,0
max My,36.473,10.585,-60.3,20.8,0.00764463233882863
max Ny,36.473,10.815,67,-3.2,0
min My,36.473,10.815,-16.8,-9.4,0.00493645643760322
max My,36.473,10.815,15,3.9,0.00607630457066289
max Ny,36.127,10.815,-153.9,2.2,0
min My,36.127,10.815,-319.3,-4,0
max My,36.127,10.815,-268,4.9,0
max Ny,36.685,7.603,147.7,22.7,0.0484476885962029
min My,36.685,7.603,114.4,-114.4,0.114359343537437
max My,36.685,7.603,100.9,132.9,0.126963444353884
max Ny,36.915,7.603,66.7,12.5,0.0234190047890398
min My,36.915,7.603,36.3,-117.1,0.102355996165707
max My,36.915,7.603,27.1,127.7,0.109396598075937
max Ny,36.915,7.747,75,12.7,0.0253837447907294
min My,36.915,7.747,48.6,-104.3,0.0940867573727616
max My,36.915,7.747,31.6,115.7,0.100370839337727
max Ny,36.685,7.747,113.5,16.9,0.0368834556648668
min My,36.685,7.747,84.2,-103.1,0.0995800996892277
max My,36.685,7.747,68.8,117.6,0.108615693258533
max Ny,36.685,8.159,96.8,27.8,0.0412364017208414
min My,36.685,8.159,73.6,-57.9,0.0608040525748464
max My,36.685,8.159,30.2,96.1,0.0840733279684523
max Ny,36.915,8.159,87.7,-0.2,0
min My,36.915,8.159,71.3,-58.3,0.0606982768950895
max My,36.915,8.159,13.2,92.9,0.0784292436638743
max Ny,36.915,9.141,80.1,40.7,0.048137993809294
min My,36.915,9.141,0.6,7.1,0.00592182595473662
max My,36.915,9.141,77,49.3,0.0544762598741666
max Ny,36.685,9.141,58.5,34.7,0.0391623207332398
min My,36.685,9.141,29.3,5.7,0.0104374988778435
max My,36.685,9.141,19.9,43.5,0.0391738481429716
max Ny,36.685,9.627,29,-1.2,0
min My,36.685,9.627,-104.1,-13.4,0.000178486003148429
max My,36.685,9.627,13,2.2,0.00439893544290576
max Ny,36.915,9.627,27.4,-1.9,0
min My,36.915,9.627,-153.8,-23.1,0.0011568025736327
max My,36.915,9.627,15.2,1.9,0
max Ny,36.915,9.973,16.4,0.2,0
min My,36.915,9.973,-135.1,-16.3,1.62671825750785E-05
max My,36.915,9.973,-10.8,11,0.00717665518411312
max Ny,36.685,9.973,-6,0.4,0
min My,36.685,9.973,-179.8,-18.2,0
max My,36.685,9.973,-47.5,3.8,0
max Ny,36.685,10.185,19.9,2.7,0.00631129322225253
min My,36.685,10.185,-127.5,-9.8,0
max My,36.685,10.185,-66.4,19.8,0.00614621229707543
max Ny,36.915,10.185,-48.4,-1.1,0
min My,36.915,10.185,-166.8,-21.9,0.000381750231164774
max My,36.915,10.185,-116.4,5.1,0
max Ny,36.915,10.415,-44.5,1.9,0
min My,36.915,10.415,-166.2,-19.6,0
max My,36.915,10.415,-108.4,8.2,0
max Ny,36.685,10.415,-4,4.7,0.00316757389718136
min My,36.685,10.415,-152.4,-6.8,0
max My,36.685,10.415,-54.2,19.3,0.00732403459388026
max Ny,36.685,10.585,-43.5,7.5,0.000692906814085816
min My,36.685,10.585,-219.7,-7.9,0
max My,36.685,10.585,-98.2,17.7,0.00190783594776738
max Ny,36.915,10.585,-53.2,3.9,0
min My,36.915,10.585,-235.7,-7,0
max My,36.915,10.585,-142.6,10,0
max Ny,36.915,10.815,-72,5.6,0
min My,36.915,10.815,-316.8,-4.5,0
max My,36.915,10.815,-152.6,11.1,0
max Ny,36.685,10.815,-49.7,5.2,0
min My,36.685,10.815,-245.9,-8.8,0
max My,36.685,10.815,-80.9,10,5.41066279672878E-05
max Ny,37.423,7.603,34.6,-12,0.0163501109918006
min My,37.423,7.603,15.8,-116.7,0.0983836779740665
max My,37.423,7.603,-21.1,113.6,0.0893787266789799
max Ny,38.577,7.603,25.4,-59.5,0.0532551549754712
min My,38.577,7.603,8.3,-119.3,0.0991892549357033
max My,38.577,7.603,-19.6,76.1,0.0589284479371449
max Ny,38.577,7.747,21.9,-49.3,0.0442793917703585
min My,38.577,7.747,6.7,-103.6,0.0860463950938256
max My,38.577,7.747,-23.5,75.2,0.057519387174008
max Ny,37.423,7.747,44.7,-6.2,0.0142518855239687
min My,37.423,7.747,26.1,-103.9,0.0897284506134082
max My,37.423,7.747,-10.5,105.7,0.0847516914375944
max Ny,37.423,8.159,49.1,-10.8,0.0184060906197462
min My,37.423,8.159,34.4,-65.5,0.059786299555551
max My,37.423,8.159,-1.3,85.1,0.0694852824797361
max Ny,38.577,8.159,13.5,-12,0.0122742183162413
min My,38.577,8.159,-1,-67,0.0547105119814494
max My,38.577,8.159,-16,64.7,0.0502154612769372
max Ny,38.577,9.141,5.1,11,0.00991824758382884
min My,38.577,9.141,-5.3,-16.3,0.0124321638392717
max My,38.577,9.141,-7.4,43.6,0.034424991012982
max Ny,37.423,9.141,62.8,31.9,0.0377334304205088
min My,37.423,9.141,-3.1,5.5,0.00397124809367985
max My,37.423,9.141,53.5,44.5,0.0461580756260617
max Ny,37.423,9.627,1.6,2.7,0.0024974291641647
min My,37.423,9.627,-59.7,-13.3,0.00252522212311091
max My,37.423,9.627,-7.2,11.2,0.00793729538851635
max Ny,38.577,9.627,34.2,14.9,0.0185701012203776
min My,38.577,9.627,28.2,-1.7,0
max My,38.577,9.627,-4.2,30.1,0.0239238215895651
max Ny,38.577,9.973,32.7,8.6,0.0133212859141791
min My,38.577,9.973,28.3,1,0
max My,38.577,9.973,-5.4,20.5,0.0158535520749262
max Ny,37.423,9.973,4.7,8,0.007392400325799
min My,37.423,9.973,-34.1,-8.4,0.00194488224662933
max My,37.423,9.973,-0.9,16.3,0.0131951728954766
max Ny,37.423,10.185,-17.2,-4.3,0.00102209093706774
min My,37.423,10.185,-35.2,-16.8,0.00805038349009854
max My,37.423,10.185,-36.2,7.1,0.00098741211170853
max Ny,38.577,10.185,35.2,10.6,0.0153756755793787
min My,38.577,10.185,12.3,1.4,0
max My,38.577,10.185,26.1,14.5,0.0166811490916192
max Ny,38.577,10.415,35.3,7.3,0.0128898053988006
min My,38.577,10.415,13.8,0.8,0
max My,38.577,10.415,30,9.7,0.0136235684667281
max Ny,37.423,10.415,-22.7,-1.2,0
min My,37.423,10.415,-44,-14,0.0047082938725523
max My,37.423,10.415,-43.6,9.6,0.00177662951519476
max Ny,37.423,10.585,-21.8,-1.9,0
min My,37.423,10.585,-65.3,-8,3.00701921101574E-05
max My,37.423,10.585,-44.6,5,0
max Ny,38.577,10.585,70.2,4.1,0
min My,38.577,10.585,24.1,0.7,0
max My,38.577,10.585,56.8,5.7,0
max Ny,38.577,10.815,67,2.7,0
min My,38.577,10.815,27.5,0,0
max My,38.577,10.815,53.6,3.6,0
max Ny,37.423,10.815,-19.7,-1,0
min My,37.423,10.815,-59.7,-8,0.000174823954655321
max My,37.423,10.815,-37.8,4.2,0
max Ny,39.275,7.603,9.1,-14.6,0.0135859801267562
min My,39.275,7.603,-13.5,-120.3,0.096187991747015
max My,39.275,7.603,-11.2,53,0.0414645848582262
max Ny,40.025,7.603,19.1,-82.7,0.071122019711481
min My,40.025,7.603,10.4,-103.7,0.0867808108678239
max My,40.025,7.603,-43.3,52.3,0.0354482321621214
max Ny,40.025,7.747,26.4,-70.8,0.0626825498899099
min My,40.025,7.747,18.6,-90.6,0.0775028383783731
max My,40.025,7.747,-32.4,54.5,0.0390673787652079
max Ny,39.275,7.747,3.7,-6.1,0.00565779899051071
min My,39.275,7.747,-18.9,-105.6,0.0832083475993389
max My,39.275,7.747,-11.6,55.8,0.0436883693891948
max Ny,39.275,8.159,17.1,-20.8,0.0201106099906141
min My,39.275,8.159,5.9,-62.8,0.0524835782990965
max My,39.275,8.159,-18,55.7,0.0425020052517613
max Ny,40.025,8.159,11.2,-39.4,0.0342581823802351
min My,40.025,8.159,5.2,-62.9,0.0524420049126929
max My,40.025,8.159,-24.1,51.6,0.0381031398913172
max Ny,40.025,9.141,13.4,-8.5,0.00941603014767086
min My,40.025,9.141,11.4,-19.2,0.017763527727978
max My,40.025,9.141,-10.8,38.7,0.0298238958000733
max Ny,39.275,9.141,10.4,10.7,0.0106407008744563
min My,39.275,9.141,2.1,-19,0.01593439953957
max My,39.275,9.141,-5.4,42.5,0.0338717666665958
max Ny,39.275,9.627,3.5,13.3,0.0115142570876555
min My,39.275,9.627,-4.2,-3.6,0.00224056702765335
max My,39.275,9.627,-1.3,29.3,0.023774528169108
max Ny,40.025,9.627,7.6,1.8,0.00294506380542956
min My,40.025,9.627,6.1,-6.8,0.00666832309817169
max My,40.025,9.627,-10.4,25.3,0.0189239771430932
max Ny,40.025,9.973,1.4,8.6,0.00729193048673628
min My,40.025,9.973,-0.8,-2.6,0.00199085311365865
max My,40.025,9.973,-4.6,17.5,0.0135352040016475
max Ny,39.275,9.973,3.9,12.7,0.0110943582588717
min My,39.275,9.973,-13.3,-5.4,0.0023032822069534
max My,39.275,9.973,2.2,18.2,0.0152967709146744
max Ny,39.275,10.185,-3,5.3,0.00382468708764656
min My,39.275,10.185,-11.7,-1,0
max My,39.275,10.185,-9.6,15.5,0.01104595098057
max Ny,40.025,10.185,1.1,5.5,0.00469974361987535
min My,40.025,10.185,-5,-1,0.000146620206683831
max My,40.025,10.185,-3.1,13.7,0.0106827347320035
max Ny,40.025,10.415,0.3,4.8,0.00398486921248283
min My,40.025,10.415,-9.4,-0.7,0
max My,40.025,10.415,-0.7,8.6,0.00692252456426671
max Ny,39.275,10.415,-3.7,2.6,0.00151190700513705
min My,39.275,10.415,-9.6,-1.4,5.90784060834892E-05
max My,39.275,10.415,-7.4,8.2,0.0054568226588595
max Ny,39.275,10.585,-13.7,1.1,0
min My,39.275,10.585,-55.3,-1.4,0
max My,39.275,10.585,-22.3,3.4,0.00018445097178195
max Ny,40.025,10.585,28.7,2.8,0
min My,40.025,10.585,25.5,-0.4,0
