    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
  Element 6-10 (Plate)	  295	           2	-7,50000000000000E+000	 8,33333333333334E-002	-3,49859476505357E+001	-3,49859476505357E+001	2,40521324362777E-005	 7,74386162118698E+001	-6,07454983807520E+001	7,74577900012534E+001	 1,15326652935507E+002	-6,79720641224413E+001	1,15338415315022E+002
                (ERSS)	  294	           3	-7,50000000000000E+000	-3,33333333333333E-001	-3,79529803932332E+001	-3,79529803932332E+001	2,67597521124479E-005	 5,94443821030974E+001	-6,66371333871077E+001	5,94690978355533E+001	 1,43919639979139E+002	-9,46992803919498E+001	1,43940517778501E+002
                      	  293	           4	-7,50000000000000E+000	-7,50000000000000E-001	-4,08985324666461E+001	-4,08985324666461E+001	2,87848896072836E-005	 3,97781618317250E+001	-6,70899469731966E+001	3,98092375815115E+001	 1,64642991065244E+002	-1,22711900862116E+002	1,64675468208776E+002
                      	  292	           5	-7,50000000000000E+000	-1,16666666666667E+000	-4,40262351187331E+001	-4,40262351187331E+001	3,01236399480740E-005	 1,79214525643464E+001	-6,18186545973665E+001	1,79598068896914E+001	 1,76754388270867E+002	-1,49737647298188E+002	1,76801291573951E+002
           Plate\_1\_3	  292	           1	-7,50000000000000E+000	-1,16666666666667E+000	-4,40013070950584E+001	-4,40013070950584E+001	3,01603082569672E-005	 1,79824135379721E+001	-6,26705847821716E+001	1,80198293001490E+001	 1,76754388270867E+002	-1,49737647298188E+002	1,76801291573950E+002
  Element 6-11 (Plate)	   45	           2	-7,50000000000000E+000	-1,37500000000000E+000	-4,51054938720154E+001	-4,51054938720154E+001	3,06262972500084E-005	 7,59553480646978E+000	-5,96151314714452E+001	7,63725393572977E+000	 1,79420518291730E+002	-1,62460263229564E+002	1,79475691091839E+002
                (ERSS)	   44	           3	-7,50000000000000E+000	-1,58333333333333E+000	-4,61342512031715E+001	-4,61342512031715E+001	3,09866641192983E-005	-3,03194117523626E+000	-5,71941641559921E+001	0,00000000000000E+000	 1,79903097724999E+002	-1,74567309293706E+002	1,79967273218360E+002
                      	   43	           4	-7,50000000000000E+000	-1,79166666666667E+000	-4,71347047768304E+001	-4,71347047768304E+001	3,12450283950933E-005	-1,40161199270855E+001	-5,89453467890603E+001	1,63293243023406E-006	 1,78132159808957E+002	-1,86163408176213E+002	1,78205741853232E+002
                      	   66	           5	-7,50000000000000E+000	-2,00000000000000E+000	-4,81539802812960E+001	-4,81539802812960E+001	3,14050096076500E-005	-2,54731069690175E+001	-6,34096059897446E+001	9,91590015967349E-006	 1,74029628787953E+002	-1,97375489600717E+002	1,74112694409208E+002
           Plate\_2\_3	 7764	           1	 7,50000000000000E+000	 5,00000000000000E-001	-3,14157270066972E+001	-3,14157270066972E+001	2,06077551849727E-005	-9,41272736054655E+001	-9,41548344003503E+001	4,96937272266754E+001	-7,82098342920538E+001	-7,82331080577604E+001	4,44090795459115E+001
  Element 9-16 (Plate)	 7671	           2	 7,50000000000000E+000	 8,33333333333334E-002	-3,46052638926769E+001	-3,46052638926769E+001	2,39445532032271E-005	-7,72945297223355E+001	-7,73268841282513E+001	6,06422129305713E+001	-1,13871078172123E+002	-1,13906897377630E+002	6,75941866036355E+001
                (ERSS)	 7672	           3	 7,50000000000000E+000	-3,33333333333333E-001	-3,72445704755643E+001	-3,72445704755643E+001	2,66080676307657E-005	-6,01501324775021E+001	-6,01863788197570E+001	6,61274842693362E+001	-1,42612860636776E+002	-1,42662948469715E+002	9,41560088649840E+001
                      	 7673	           4	 7,50000000000000E+000	-7,50000000000000E-001	-3,99325885010985E+001	-3,99325885010985E+001	2,85939728711756E-005	-4,11524269477753E+001	-4,11926413908318E+001	6,60097881731166E+001	-1,63750507455449E+002	-1,63816549499566E+002	1,21815981818029E+002
                      	 8784	           5	 7,50000000000000E+000	-1,16666666666667E+000	-4,32682597150190E+001	-4,32682597150190E+001	2,98979433280444E-005	-1,87597582099647E+001	-1,88049947574403E+001	6,08422927702414E+001	-1,76401097666649E+002	-1,76484866618701E+002	1,48326226189863E+002
           Plate\_2\_3	 8784	           1	 7,50000000000000E+000	-1,16666666666667E+000	-4,31478445052982E+001	-4,31478445052982E+001	2,99361087458120E-005	-1,90664492938081E+001	-1,91113798517620E+001	6,16152295031222E+001	-1,76401097666649E+002	-1,76484866618701E+002	1,48326226189863E+002
  Element 9-17 (Plate)	 8781	           2	 7,50000000000000E+000	-1,37500000000000E+000	-4,45288793563009E+001	-4,45288793563009E+001	3,03867965107412E-005	-7,96198210215218E+000	-8,01085029576316E+000	5,89775233686078E+001	-1,79212024326830E+002	-1,79305580171647E+002	1,60848745265727E+002
                (ERSS)	 8782	           3	 7,50000000000000E+000	-1,58333333333333E+000	-4,57003542453702E+001	-4,57003542453702E+001	3,07348847787052E-005	 3,03704665392772E+000	 0,00000000000000E+000	5,70407784346432E+001	-1,79726678125753E+002	-1,79830758588112E+002	1,72855605949034E+002
                      	 8783	           4	 7,50000000000000E+000	-1,79166666666667E+000	-4,67151919826715E+001	-4,67151919826715E+001	3,09844988019939E-005	 1,40620005904044E+001	-2,63615610278205E-006	5,90328929804408E+001	-1,77944496377132E+002	-1,78059767222115E+002	1,84449416931143E+002
