    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
  Element 6-10 (Plate)	  295	           2	-7,50000000000000E+000	 8,33333333333334E-002	-3,49705357561148E+001	-3,49705357561148E+001	2,40521324362777E-005	 7,74577900012534E+001	-6,07454983807520E+001	7,74577900012534E+001	 1,15338415315022E+002	-6,79720641224413E+001	1,15338415315022E+002
                (ERSS)	  294	           3	-7,50000000000000E+000	-3,33333333333333E-001	-3,79336551062565E+001	-3,79336551062565E+001	2,67597521124479E-005	 5,94690978355533E+001	-6,66371333871077E+001	5,94690978355533E+001	 1,43940517778501E+002	-9,46992803919498E+001	1,43940517778501E+002
                      	  293	           4	-7,50000000000000E+000	-7,50000000000000E-001	-4,08748565076312E+001	-4,08748565076312E+001	2,87848896072836E-005	 3,98092375815115E+001	-6,70899469731966E+001	3,98092375815115E+001	 1,64675468208776E+002	-1,22711900862116E+002	1,64675468208776E+002
                      	  292	           5	-7,50000000000000E+000	-1,16666666666667E+000	-4,39976850317150E+001	-4,39976850317150E+001	3,01236399480740E-005	 1,79598068896914E+001	-6,18186545973665E+001	1,79598068896914E+001	 1,76801291573951E+002	-1,49737647298188E+002	1,76801291573951E+002
           Plate\_1\_3	  292	           1	-7,50000000000000E+000	-1,16666666666667E+000	-4,39729851497472E+001	-4,39729851497472E+001	3,01603082569672E-005	 1,80198293001490E+001	-6,26705847821716E+001	1,80198293001490E+001	 1,76801291573950E+002	-1,49737647298188E+002	1,76801291573950E+002
  Element 6-11 (Plate)	   45	           2	-7,50000000000000E+000	-1,37500000000000E+000	-4,50744170421359E+001	-4,50744170421359E+001	3,06262972500084E-005	 7,63725393572977E+000	-5,96151314714452E+001	7,63725393572977E+000	 1,79475691091839E+002	-1,62460263229564E+002	1,79475691091839E+002
                (ERSS)	   44	           3	-7,50000000000000E+000	-1,58333333333333E+000	-4,61007615806385E+001	-4,61007615806385E+001	3,09866641192983E-005	-2,98751035214668E+000	-5,71941641559921E+001	0,00000000000000E+000	 1,79967273218360E+002	-1,74567309293706E+002	1,79967273218360E+002
                      	   43	           4	-7,50000000000000E+000	-1,79166666666667E+000	-4,70991619312153E+001	-4,70991619312153E+001	3,12450283950933E-005	-1,39705316789063E+001	-5,89453467890603E+001	1,63293243023406E-006	 1,78205741853232E+002	-1,86163408176213E+002	1,78205741853232E+002
                      	   66	           5	-7,50000000000000E+000	-2,00000000000000E+000	-4,81167612598269E+001	-4,81167612598269E+001	3,14050096076500E-005	-2,54278781599753E+001	-6,34096059897446E+001	9,91590015967349E-006	 1,74112694409208E+002	-1,97375489600717E+002	1,74112694409208E+002
           Plate\_2\_3	 7764	           1	 7,50000000000000E+000	 5,00000000000000E-001	-3,14068909666668E+001	-3,14068909666668E+001	2,06077551849727E-005	-9,41548344003503E+001	-9,41548344003503E+001	4,96937272266754E+001	-7,82331080577604E+001	-7,82331080577604E+001	4,44090795459115E+001
