    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
           Plate\_1\_2	  482	           1	-7,50000000000000E+000	 1,50000000000000E+000	-2,18393259737923E+001	-2,18393259737923E+001	1,35585556219019E-005	 1,02539100560960E+002	-1,91366672412358E+001	1,37538814599061E+002	-3,54275616487842E+001	-3,62762473975197E+001	2,68589307815664E+000
   Element 3-3 (Plate)	  467	           2	-7,50000000000000E+000	 1,25000000000000E+000	-2,60877014913332E+001	-2,60877014913332E+001	1,50760266216634E-005	 8,91131862423507E+001	-2,59354310028008E+001	1,26712285178453E+002	-1,14434607359668E+001	-1,64882101945215E+001	3,20982533738254E+000
                (ERSS)	  466	           3	-7,50000000000000E+000	 1,00000000000000E+000	-3,05043720112695E+001	-3,05043720112695E+001	1,67990418941158E-005	 7,46316705645293E+001	-3,35131863006560E+001	1,15739168320774E+002	 9,03268779713959E+000	-2,39142413850680E+001	2,70664461559034E+001
                      	  465	           4	-7,50000000000000E+000	 7,50000000000000E-001	-3,48974147475894E+001	-3,48974147475894E+001	1,86984302756361E-005	 5,95930736016815E+001	-4,16176931969325E+001	1,04883464430919E+002	 2,58346000805464E+001	-3,32925482822566E+001	5,46508489257392E+001
                      	  464	           5	-7,50000000000000E+000	 5,00000000000000E-001	-3,90749069142813E+001	-3,90749069142813E+001	2,07450206026014E-005	 4,44959154279928E+001	-4,99967117537613E+001	9,44091739137810E+001	 3,88327708101349E+001	-4,47416571376446E+001	7,95427348686835E+001
           Plate\_2\_2	 8268	           1	 7,50000000000000E+000	 1,50000000000000E+000	-2,18494577449003E+001	-2,18494577449003E+001	1,35790948467085E-005	-1,02513906336851E+002	-1,36818956885579E+002	1,92760045895379E+001	 3,54780726843451E+001	-2,68516526583915E+000	3,70868594477155E+001
   Element 4-4 (Plate)	 7765	           2	 7,50000000000000E+000	 1,25000000000000E+000	-2,60592547615276E+001	-2,60592547615276E+001	1,50910575623070E-005	-8,91879088676656E+001	-1,26134400142881E+002	2,56257826674706E+001	 1,14897441133892E+001	-3,20663479830589E+000	1,64478638981199E+001
                (ERSS)	 7766	           3	 7,50000000000000E+000	 1,00000000000000E+000	-3,04131075411384E+001	-3,04131075411384E+001	1,67979894368033E-005	-7,48685269000380E+001	-1,15315420148204E+002	3,29691878454318E+001	-9,02517828672026E+000	-2,59749571564133E+001	2,37580845774919E+001
                      	 7767	           4	 7,50000000000000E+000	 7,50000000000000E-001	-3,47310563622714E+001	-3,47310563622714E+001	1,86711199404051E-005	-6,00233656691923E+001	-1,04490372219701E+002	4,11825650859765E+001	-2,59093793390243E+001	-5,34597259948961E+001	3,30087262143010E+001
                      	 7764	           5	 7,50000000000000E+000	 5,00000000000000E-001	-3,88331415034652E+001	-3,88331415034652E+001	2,06816785433204E-005	-4,51200304103527E+001	-9,37876116755259E+001	5,01422593516602E+001	-3,90399813478720E+001	-7,82331080577605E+001	4,44090795459115E+001
           Plate\_1\_3	  464	           1	-7,50000000000000E+000	 5,00000000000000E-001	-3,93172010418359E+001	-3,93172010418359E+001	2,06659355514839E-005	 4,38447118824874E+001	-5,00605130992012E+001	9,42937164280483E+001	 3,88327708101349E+001	-4,47416571376446E+001	7,95427348686834E+001
  Element 6-10 (Plate)	  295	           2	-7,50000000000000E+000	 8,33333333333334E-002	-4,63353456360520E+001	-4,63353456360520E+001	2,40521324362777E-005	 1,72009332932671E+001	-6,07454983807520E+001	7,74577900012534E+001	 5,15873873004450E+001	-6,79720641224413E+001	1,15338415315022E+002
                (ERSS)	  294	           3	-7,50000000000000E+000	-3,33333333333333E-001	-5,32324607263759E+001	-5,32324607263759E+001	2,67597521124479E-005	-1,09195245835240E+001	-6,66371333871077E+001	5,94690978355533E+001	 5,29663445607404E+001	-9,46992803919498E+001	1,43940517778501E+002
                      	  293	           4	-7,50000000000000E+000	-7,50000000000000E-001	-6,01454845683014E+001	-6,01454845683014E+001	2,87848896072836E-005	-4,08793504492927E+001	-6,70899469731966E+001	3,98092375815115E+001	 4,22303501551709E+001	-1,22711900862116E+002	1,64675468208776E+002
                      	  292	           5	-7,50000000000000E+000	-1,16666666666667E+000	-6,72113554173226E+001	-6,72113554173226E+001	3,01236399480740E-005	-7,30412330054460E+001	-7,30412330054460E+001	1,79598068896914E+001	 1,85900929063367E+001	-1,49737647298188E+002	1,76801291573951E+002
           Plate\_1\_3	  292	           1	-7,50000000000000E+000	-1,16666666666667E+000	-6,71906841801205E+001	-6,71906841801205E+001	3,01603082569672E-005	-7,29924229635106E+001	-7,29924229635106E+001	1,80198293001490E+001	 1,85900929063366E+001	-1,49737647298188E+002	1,76801291573950E+002
  Element 6-11 (Plate)	   45	           2	-7,50000000000000E+000	-1,37500000000000E+000	-7,03453240801963E+001	-7,03453240801963E+001	3,06262972500084E-005	-8,88009856717644E+001	-8,88009856717644E+001	7,63725393572977E+000	 1,74442885792277E+000	-1,62460263229564E+002	1,79475691091839E+002
