    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
  Element 6-10 (Plate)	  295	           2	-7,50000000000000E+000	 8,33333333333334E-002	-1,79965205580794E+001	-1,79965205580794E+001	2,40521324362777E-005	-2,03590999810177E+000	-2,03590999810177E+000	0,00000000000000E+000	 3,29199456192371E+000	-2,87449033651482E-004	3,41741931151603E+000
                (ERSS)	  294	           3	-7,50000000000000E+000	-3,33333333333333E-001	-2,04043809035251E+001	-2,04043809035251E+001	2,67597521124479E-005	-3,95365517377995E+000	-3,95365517377995E+000	0,00000000000000E+000	 2,04395393653186E+000	-3,08893386794546E-004	2,36229208744535E+000
                      	  293	           4	-7,50000000000000E+000	-7,50000000000000E-001	-2,25062128726708E+001	-2,25062128726708E+001	2,87848896072836E-005	-5,91553974410358E+000	-5,91553974410358E+000	0,00000000000000E+000	-9,60669147410154E-003	-9,60669147410154E-003	9,50892471800056E-001
                      	  292	           5	-7,50000000000000E+000	-1,16666666666667E+000	-2,43037056843228E+001	-2,43037056843228E+001	3,01236399480740E-005	-7,87055971011347E+000	-7,87055971011347E+000	0,00000000000000E+000	-2,88321092174325E+000	-2,88321092174325E+000	7,14397789545809E-004
           Plate\_1\_3	  292	           1	-7,50000000000000E+000	-1,16666666666667E+000	-2,43047318932001E+001	-2,43047318932001E+001	3,01603082569672E-005	-7,77481498625121E+000	-7,77481498625121E+000	0,00000000000000E+000	-2,88321092174340E+000	-2,88321092174340E+000	7,14397789549675E-004
  Element 6-11 (Plate)	   45	           2	-7,50000000000000E+000	-1,37500000000000E+000	-2,50976069246926E+001	-2,50976069246926E+001	3,06262972500084E-005	-8,66257325488021E+000	-8,66257325488021E+000	0,00000000000000E+000	-4,59837858763740E+000	-4,59837858763740E+000	0,00000000000000E+000
                (ERSS)	   44	           3	-7,50000000000000E+000	-1,58333333333333E+000	-2,58116736773958E+001	-2,58116736773958E+001	3,09866641192983E-005	-9,30444077756308E+000	-9,30444077756308E+000	0,00000000000000E+000	-6,47619314471444E+000	-6,47619314471444E+000	0,00000000000000E+000
                      	   43	           4	-7,50000000000000E+000	-1,79166666666667E+000	-2,64438698309577E+001	-2,64438698309577E+001	3,12450283950933E-005	-9,64951016680405E+000	-9,64951016680405E+000	1,63293243023406E-006	-8,45552499125208E+000	-8,45552499125208E+000	0,00000000000000E+000
                      	   66	           5	-7,50000000000000E+000	-2,00000000000000E+000	-2,69911330650264E+001	-2,69911330650264E+001	3,14050096076500E-005	-9,64687403510736E+000	-9,64687403510736E+000	9,91590015967349E-006	-1,04720456581852E+001	-1,04720456581852E+001	0,00000000000000E+000
           Plate\_2\_3	 7764	           1	 7,50000000000000E+000	 5,00000000000000E-001	-1,52944821357982E+001	-1,52944821357982E+001	2,06077551849727E-005	 2,15272099177154E-001	 0,00000000000000E+000	3,06330689706734E-001	-3,78197094105643E+000	-3,85425538219412E+000	2,62816489658386E-004
  Element 9-16 (Plate)	 7671	           2	 7,50000000000000E+000	 8,33333333333334E-002	-1,80101852474275E+001	-1,80101852474275E+001	2,39445532032271E-005	 2,04062256407872E+000	 0,00000000000000E+000	2,04062256407872E+000	-3,31723097730670E+000	-3,41415283992903E+000	2,90210275024469E-004
                (ERSS)	 7672	           3	 7,50000000000000E+000	-3,33333333333333E-001	-2,04180843982727E+001	-2,04180843982727E+001	2,66080676307657E-005	 3,95944379704810E+000	 0,00000000000000E+000	3,95944379704810E+000	-2,06700117501923E+000	-2,35950156741378E+000	3,11508087208059E-004
                      	 7673	           4	 7,50000000000000E+000	-7,50000000000000E-001	-2,25199523450053E+001	-2,25199523450053E+001	2,85939728711756E-005	 5,92169401906933E+000	 0,00000000000000E+000	5,92169401906933E+000	-1,09033707125634E-002	-9,61103409355764E-001	3,27134265029913E-004
                      	 8784	           5	 7,50000000000000E+000	-1,16666666666667E+000	-2,43175618442967E+001	-2,43175618442967E+001	2,98979433280444E-005	 7,87733145112643E+000	 0,00000000000000E+000	7,87733145112643E+000	 2,86535006544971E+000	-9,04579410874160E-004	2,86535006544971E+000
           Plate\_2\_3	 8784	           1	 7,50000000000000E+000	-1,16666666666667E+000	-2,43183617054475E+001	-2,43183617054475E+001	2,99361087458120E-005	 7,77867521747062E+000	 0,00000000000000E+000	7,77867521747062E+000	 2,86535006544975E+000	-9,04579410884547E-004	2,86535006544975E+000
  Element 9-17 (Plate)	 8781	           2	 7,50000000000000E+000	-1,37500000000000E+000	-2,51113742497419E+001	-2,51113742497419E+001	3,03867965107412E-005	 8,66821761791133E+000	 0,00000000000000E+000	8,66821761791133E+000	 4,58153419108216E+000	 0,00000000000000E+000	4,58153419108216E+000
                (ERSS)	 8782	           3	 7,50000000000000E+000	-1,58333333333333E+000	-2,58255215380026E+001	-2,58255215380026E+001	3,07348847787052E-005	 9,31085534300414E+000	 0,00000000000000E+000	9,31085534300414E+000	 6,46060770830000E+000	 0,00000000000000E+000	6,46060770830000E+000
                      	 8783	           4	 7,50000000000000E+000	-1,79166666666667E+000	-2,64577014192231E+001	-2,64577014192231E+001	3,09844988019939E-005	 9,65618885061414E+000	-2,63615610278205E-006	9,65618885061414E+000	 8,44131882217194E+000	 0,00000000000000E+000	8,44131882217194E+000
