    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                      	 8783	           4	 7,50000000000000E+000	-1,79166666666667E+000	-8,03255866954597E+001	-8,03255866954597E+001	3,09844988019939E-005	 1,31846511646789E+002	-2,63615610278205E-006	1,31846511646789E+002	 5,96358907054042E+001	-1,78059767222115E+002	1,84449416931143E+002
                      	 8800	           5	 7,50000000000000E+000	-2,00000000000000E+000	-8,34789999032004E+001	-8,34789999032004E+001	3,11397638328973E-005	 1,48727810529240E+002	-1,09463170564201E-005	1,48727810529240E+002	 8,88584969801430E+001	-1,73982905045210E+002	1,95748346838799E+002
           Plate\_1\_4	   66	           1	-7,50000000000000E+000	-2,00000000000000E+000	-8,28128068667160E+001	-8,28128068667160E+001	3,14815377162033E-005	-1,47137701729801E+002	-1,47137701729801E+002	1,66080098747388E-005	-9,04286142171919E+001	-1,97375489600717E+002	1,74112694409208E+002
 Element 10-18 (Plate)	   69	           2	-7,50000000000000E+000	-2,12500000000000E+000	-8,58659816828448E+001	-8,58659816828448E+001	3,23747110471971E-005	-1,58287995627817E+002	-1,58287995627817E+002	6,92001531439694E-005	-1,09475252069208E+002	-2,03095341504470E+002	1,70590168608276E+002
                (ERSS)	   68	           3	-7,50000000000000E+000	-2,25000000000000E+000	-9,02145338884078E+001	-9,02145338884078E+001	5,33039875197524E+000	-1,72334165880183E+002	-1,72334165880183E+002	2,03315784406131E+000	-1,30127025033983E+002	-2,06869732026742E+002	1,66295347138527E+002
                      	   67	           4	-7,50000000000000E+000	-2,37500000000000E+000	-9,55222484772368E+001	-9,55222484772368E+001	1,03143634361930E+001	-1,88556150131530E+002	-1,88556150131530E+002	1,30344055807964E+001	-1,52659360643442E+002	-2,08608119319764E+002	1,61201015030380E+002
                      	   80	           5	-7,50000000000000E+000	-2,50000000000000E+000	-1,01452910443163E+002	-1,01476815215653E+002	1,50497841916181E+001	-2,06233886026492E+002	-2,06256437627843E+002	2,39428124859757E+001	-1,77320871983885E+002	-2,08241439009808E+002	1,55278281720243E+002
           Plate\_2\_4	 8800	           1	 7,50000000000000E+000	-2,00000000000000E+000	-8,31354236929993E+001	-8,31354236929993E+001	3,12405532378770E-005	 1,48047007764419E+002	-1,75836277253386E-005	1,48047007764419E+002	 8,88584969801430E+001	-1,73982905045210E+002	1,95748346838799E+002
 Element 13-21 (Plate)	 8801	           2	 7,50000000000000E+000	-2,12500000000000E+000	-8,65308778264022E+001	-8,65308778264022E+001	3,20838894584596E-005	 1,59936631484692E+002	-7,02239475607264E-005	1,59936631484692E+002	 1,08073407733708E+002	-1,70468504942333E+002	2,01421393810980E+002
                (ERSS)	 8802	           3	 7,50000000000000E+000	-2,25000000000000E+000	-9,10386679368384E+001	-9,10386679368384E+001	4,97930797140679E+000	 1,74331879105772E+002	-2,36928622762137E+000	1,74331879105772E+002	 1,28949900718753E+002	-1,66176708714298E+002	2,05141110417399E+002
                      	 8803	           4	 7,50000000000000E+000	-2,37500000000000E+000	-9,65145282900311E+001	-9,65145282900311E+001	9,70668228489696E+000	 1,90921809155864E+002	-1,31898546972565E+001	1,90921809155864E+002	 1,51757845797963E+002	-1,61072122893393E+002	2,07027570314734E+002
                      	 8804	           5	 7,50000000000000E+000	-2,50000000000000E+000	-1,02814193151703E+002	-1,02814193151703E+002	1,41919310635203E+001	 2,09395480163173E+002	-2,45273856995393E+001	2,09395480163173E+002	 1,76755899999414E+002	-1,55115308525646E+002	2,07278390102339E+002
           Plate\_1\_5	   80	           1	-7,50000000000000E+000	-2,50000000000000E+000	-1,00721811350331E+002	-1,00746102768321E+002	1,55435445584022E+001	 2,88428849258959E+002	-6,11579908256734E+001	2,89210855507302E+002	-1,77320871983885E+002	-2,08241439009808E+002	1,55278281720243E+002
 Element 14-22 (Plate)	   83	           2	-7,50000000000000E+000	-2,75000000000000E+000	-1,11272563239782E+002	-1,11290316438451E+002	2,29201412442731E+001	 2,55474039478110E+002	-6,85931679756814E+001	2,56244808060242E+002	-1,09340842527991E+002	-2,02058387357358E+002	1,40695046038219E+002
                (ERSS)	   82	           3	-7,50000000000000E+000	-3,00000000000000E+000	-1,21362821018685E+002	-1,21362821018685E+002	2,90086937631342E+001	 2,22968291076966E+002	-8,01740189880030E+001	2,24311109268910E+002	-4,95600420878980E+001	-1,89241376362782E+002	1,22600378581231E+002
                      	   81	           4	-7,50000000000000E+000	-3,25000000000000E+000	-1,30641674367692E+002	-1,30641674367692E+002	3,38211921280930E+001	 1,91666850689621E+002	-9,64477853178167E+001	1,94746887379711E+002	 2,26937292616517E+000	-1,71062098356399E+002	1,02724669648978E+002
                      	  188	           5	-7,50000000000000E+000	-3,50000000000000E+000	-1,38758212967456E+002	-1,38758212967456E+002	3,73696263522570E+001	 1,62324964950170E+002	-1,14959449388473E+002	1,68664893815168E+002	 4,64501842701488E+001	-1,60787721839846E+002	9,78521009320465E+001
           Plate\_2\_5	 8804	           1	 7,50000000000000E+000	-2,50000000000000E+000	-1,02308848881437E+002	-1,02308848881437E+002	1,44891554236714E+001	-2,84785945528021E+002	-2,85749119018736E+002	6,11634565013077E+001	 1,76755899999414E+002	-1,55115308525646E+002	2,07278390102339E+002
 Element 17-25 (Plate)	 8642	           2	 7,50000000000000E+000	-2,75000000000000E+000	-1,12528461361926E+002	-1,12528461361926E+002	2,20449658375132E+001	-2,52518247413631E+002	-2,53463410936712E+002	6,85894002673495E+001	 1,09551457658380E+002	-1,40409856759407E+002	2,01615454360809E+002
                (ERSS)	 8643	           3	 7,50000000000000E+000	-3,00000000000000E+000	-1,22827471155351E+002	-1,22827471155351E+002	2,80849363706563E+001	-2,19548637199777E+002	-2,20818085124468E+002	8,05596188309315E+001	 5,05856406293246E+001	-1,22184539148409E+002	1,89316494695250E+002
                      	 8644	           4	 7,50000000000000E+000	-3,25000000000000E+000	-1,32305941154656E+002	-1,32305941154656E+002	3,28155140692901E+001	-1,87803378261879E+002	-1,90199781542857E+002	9,67703458897097E+001	-3,50205075247459E-001	-1,02811641704657E+002	1,71578898703289E+002
