    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
  Element 6-10 (Plate)	  295	           2	-7,50000000000000E+000	 8,33333333333334E-002	-1,40762140190248E+001	-1,79965205580794E+001	2,40521324362777E-005	-6,07454983807520E+001	-6,07454983807520E+001	0,00000000000000E+000	-6,79720641224413E+001	-6,79720641224413E+001	3,41741931151603E+000
                (ERSS)	  294	           3	-7,50000000000000E+000	-3,33333333333333E-001	-1,34831155501976E+001	-2,04043809035251E+001	2,67597521124479E-005	-6,65635481628513E+001	-6,65635481628513E+001	0,00000000000000E+000	-9,46992803919498E+001	-9,46992803919498E+001	2,36229208744535E+000
                      	  293	           4	-7,50000000000000E+000	-7,50000000000000E-001	-1,15757181035253E+001	-2,25062128726708E+001	2,87848896072836E-005	-6,70319550084674E+001	-6,70319550084674E+001	0,00000000000000E+000	-1,22711900862116E+002	-1,22711900862116E+002	9,50892471800056E-001
                      	  292	           5	-7,50000000000000E+000	-1,16666666666667E+000	-8,48977405753536E+000	-2,43037056843228E+001	3,01236399480740E-005	-6,16680114805683E+001	-6,16680114805683E+001	0,00000000000000E+000	-1,49737647298188E+002	-1,49737647298188E+002	7,14397789545809E-004
           Plate\_1\_3	  292	           1	-7,50000000000000E+000	-1,16666666666667E+000	-9,14953358051315E+000	-2,43047318932001E+001	3,01603082569672E-005	-6,25780719216123E+001	-6,25780719216123E+001	0,00000000000000E+000	-1,49737647298188E+002	-1,49737647298188E+002	7,14397789549675E-004
  Element 6-11 (Plate)	   45	           2	-7,50000000000000E+000	-1,37500000000000E+000	-8,22023639587164E+000	-2,50976069246926E+001	3,06262972500084E-005	-5,95637852603300E+001	-5,95637852603300E+001	0,00000000000000E+000	-1,62460263229564E+002	-1,62460263229564E+002	0,00000000000000E+000
                (ERSS)	   44	           3	-7,50000000000000E+000	-1,58333333333333E+000	-7,42033792323606E+000	-2,58116736773958E+001	3,09866641192983E-005	-5,67774836168383E+001	-5,67774836168383E+001	0,00000000000000E+000	-1,74567309293706E+002	-1,74567309293706E+002	0,00000000000000E+000
                      	   43	           4	-7,50000000000000E+000	-1,79166666666667E+000	-6,83753597215647E+000	-2,64438698309577E+001	3,12450283950933E-005	-5,45731501307571E+001	-5,45731501307571E+001	1,63293243023406E-006	-1,86163408176213E+002	-1,86163408176213E+002	0,00000000000000E+000
                      	   66	           5	-7,50000000000000E+000	-2,00000000000000E+000	-6,55952835218289E+000	-2,69911330650264E+001	3,14050096076500E-005	-5,33047679417064E+001	-5,33047679417064E+001	9,91590015967349E-006	-1,97375489600717E+002	-1,97375489600717E+002	0,00000000000000E+000
           Plate\_2\_3	 7764	           1	 7,50000000000000E+000	 5,00000000000000E-001	-1,30950399818094E+001	-1,52944821357982E+001	2,06077551849727E-005	 4,96937272266754E+001	 0,00000000000000E+000	4,96937272266754E+001	 4,44090795459115E+001	-3,85425538219412E+000	4,44090795459115E+001
