    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
  Element 6-10 (Plate)	  295	           2	-7,50000000000000E+000	 8,33333333333334E-002	-1,43128546301062E+001	-1,79965205580794E+001	2,40521324362777E-005	-6,06343935529037E+001	-6,07454983807520E+001	0,00000000000000E+000	-6,72863021193436E+001	-6,79720641224413E+001	3,41741931151603E+000
                (ERSS)	  294	           3	-7,50000000000000E+000	-3,33333333333333E-001	-1,38400405639383E+001	-2,04043809035251E+001	2,67597521124479E-005	-6,66371333871077E+001	-6,66371333871077E+001	0,00000000000000E+000	-9,40050246229165E+001	-9,46992803919498E+001	2,36229208744535E+000
                      	  293	           4	-7,50000000000000E+000	-7,50000000000000E-001	-1,19591214892017E+001	-2,25062128726708E+001	2,87848896072836E-005	-6,70899469731966E+001	-6,70899469731966E+001	0,00000000000000E+000	-1,22059671890316E+002	-1,22711900862116E+002	9,50892471800056E-001
                      	  292	           5	-7,50000000000000E+000	-1,16666666666667E+000	-8,84704386091374E+000	-2,43037056843228E+001	3,01236399480740E-005	-6,18186545973665E+001	-6,18186545973665E+001	0,00000000000000E+000	-1,49114096548357E+002	-1,49737647298188E+002	7,14397789545809E-004
           Plate\_1\_3	  292	           1	-7,50000000000000E+000	-1,16666666666667E+000	-9,51776692309980E+000	-2,43047318932001E+001	3,01603082569672E-005	-6,26705847821716E+001	-6,26705847821716E+001	0,00000000000000E+000	-1,49114096548357E+002	-1,49737647298188E+002	7,14397789549675E-004
  Element 6-11 (Plate)	   45	           2	-7,50000000000000E+000	-1,37500000000000E+000	-8,58568759798134E+000	-2,50976069246926E+001	3,06262972500084E-005	-5,96151314714452E+001	-5,96151314714452E+001	0,00000000000000E+000	-1,61851416824284E+002	-1,62460263229564E+002	0,00000000000000E+000
                (ERSS)	   44	           3	-7,50000000000000E+000	-1,58333333333333E+000	-7,78563824091554E+000	-2,58116736773958E+001	3,09866641192983E-005	-5,68048337022973E+001	-5,68048337022973E+001	0,00000000000000E+000	-1,73966330482963E+002	-1,74567309293706E+002	0,00000000000000E+000
                      	   43	           4	-7,50000000000000E+000	-1,79166666666667E+000	-7,20422133813672E+000	-2,64438698309577E+001	3,12450283950933E-005	-5,45947638999078E+001	-5,45947638999078E+001	1,63293243023406E-006	-1,85567227633649E+002	-1,86163408176213E+002	0,00000000000000E+000
                      	   66	           5	-7,50000000000000E+000	-2,00000000000000E+000	-6,92803937587923E+000	-2,69911330650264E+001	3,14050096076500E-005	-5,33399944894568E+001	-5,33399944894568E+001	9,91590015967349E-006	-1,96784873577464E+002	-1,97375489600717E+002	0,00000000000000E+000
           Plate\_2\_3	 7764	           1	 7,50000000000000E+000	 5,00000000000000E-001	-1,30023188743622E+001	-1,52944821357982E+001	2,06077551849727E-005	 4,88480241908365E+001	 0,00000000000000E+000	4,96937272266754E+001	 4,39502029331477E+001	-3,85425538219412E+000	4,44090795459115E+001
  Element 9-16 (Plate)	 7671	           2	 7,50000000000000E+000	 8,33333333333334E-002	-1,42376937138086E+001	-1,80101852474275E+001	2,39445532032271E-005	 6,06040174711571E+001	 0,00000000000000E+000	6,06422129305713E+001	 6,69843301369551E+001	-3,41415283992903E+000	6,75941866036355E+001
                (ERSS)	 7672	           3	 7,50000000000000E+000	-3,33333333333333E-001	-1,35947709547853E+001	-2,04180843982727E+001	2,66080676307657E-005	 6,61274842693362E+001	 0,00000000000000E+000	6,61274842693362E+001	 9,35746585793056E+001	-2,35950156741378E+000	9,41560088649840E+001
                      	 7673	           4	 7,50000000000000E+000	-7,50000000000000E-001	-1,15635203611171E+001	-2,25199523450053E+001	2,85939728711756E-005	 6,60097881731166E+001	 0,00000000000000E+000	6,60097881731166E+001	 1,21320229217453E+002	-9,61103409355764E-001	1,21815981818029E+002
                      	 8784	           5	 7,50000000000000E+000	-1,16666666666667E+000	-8,63391169662891E+000	-2,43175618442967E+001	2,98979433280444E-005	 6,08422927702414E+001	 0,00000000000000E+000	6,08422927702414E+001	 1,47895551973888E+002	-9,04579410874160E-004	1,48326226189863E+002
           Plate\_2\_3	 8784	           1	 7,50000000000000E+000	-1,16666666666667E+000	-9,27280859553409E+000	-2,43183617054475E+001	2,99361087458120E-005	 6,16152295031222E+001	 0,00000000000000E+000	6,16152295031222E+001	 1,47895551973888E+002	-9,04579410884547E-004	1,48326226189863E+002
  Element 9-17 (Plate)	 8781	           2	 7,50000000000000E+000	-1,37500000000000E+000	-8,62316480507135E+000	-2,51113742497419E+001	3,03867965107412E-005	 5,89775233686078E+001	 0,00000000000000E+000	5,89775233686078E+001	 1,60453415828299E+002	 0,00000000000000E+000	1,60848745265727E+002
                (ERSS)	 8782	           3	 7,50000000000000E+000	-1,58333333333333E+000	-8,07468653942147E+000	-2,58255215380026E+001	3,07348847787052E-005	 5,66559866449098E+001	 0,00000000000000E+000	5,66559866449098E+001	 1,72488350244571E+002	 0,00000000000000E+000	1,72855605949034E+002
                      	 8783	           4	 7,50000000000000E+000	-1,79166666666667E+000	-7,70629677430621E+000	-2,64577014192231E+001	3,09844988019939E-005	 5,48991712279656E+001	-2,63615610278205E-006	5,48991712279656E+001	 1,84104728283491E+002	 0,00000000000000E+000	1,84449416931143E+002
                      	 8800	           5	 7,50000000000000E+000	-2,00000000000000E+000	-7,59691848544733E+000	-2,70048117423969E+001	3,11397638328973E-005	 5,39556290137126E+001	-1,09463170564201E-005	5,39556290137126E+001	 1,95422566491060E+002	 0,00000000000000E+000	1,95748346838799E+002
           Plate\_1\_4	   66	           1	-7,50000000000000E+000	-2,00000000000000E+000	-6,22302832632830E+000	-2,70017006038316E+001	3,14815377162033E-005	-5,30907595188638E+001	-5,30907595188638E+001	1,66080098747388E-005	-1,96784873577464E+002	-1,97375489600717E+002	0,00000000000000E+000
 Element 10-18 (Plate)	   69	           2	-7,50000000000000E+000	-2,12500000000000E+000	-3,62247935459226E-001	-2,77981545537216E+001	3,23747110471971E-005	-3,83587885819025E+001	-3,83587885819025E+001	6,92001531439694E-005	-2,02517678626098E+002	-2,03095341504470E+002	0,00000000000000E+000
                (ERSS)	   68	           3	-7,50000000000000E+000	-2,25000000000000E+000	 5,01100134019090E+000	-2,85715145181471E+001	5,33039875197524E+000	-2,25431113751056E+001	-2,25431113751056E+001	2,03315784406131E+000	-2,06324060916680E+002	-2,06869732026742E+002	0,00000000000000E+000
                      	   67	           4	-7,50000000000000E+000	-2,37500000000000E+000	 9,99382156935765E+000	-2,93224146327704E+001	1,03143634361930E+001	-6,29757253448133E+000	-6,29757253448133E+000	1,30344055807964E+001	-2,08136857679620E+002	-2,08608119319764E+002	0,00000000000000E+000
                      	   80	           5	-7,50000000000000E+000	-2,50000000000000E+000	 1,46833148207766E+001	-3,00514890332537E+001	1,50497841916181E+001	 9,72398330396210E+000	 0,00000000000000E+000	2,39428124859757E+001	-2,07913161119892E+002	-2,08241439009808E+002	0,00000000000000E+000
           Plate\_2\_4	 8800	           1	 7,50000000000000E+000	-2,00000000000000E+000	-6,49110309004473E+000	-2,70075326141784E+001	3,12405532378770E-005	 5,25962466590702E+001	-1,75836277253386E-005	5,25962466590702E+001	 1,95422566491060E+002	 0,00000000000000E+000	1,95748346838799E+002
 Element 13-21 (Plate)	 8801	           2	 7,50000000000000E+000	-2,12500000000000E+000	-5,84586307659475E-001	-2,78057836489278E+001	3,20838894584596E-005	 3,79359992975743E+001	-7,02239475607264E-005	3,79359992975743E+001	 2,01110474805697E+002	 0,00000000000000E+000	2,01421393810980E+002
                (ERSS)	 8802	           3	 7,50000000000000E+000	-2,25000000000000E+000	 4,60846162700076E+000	-2,85802316196203E+001	4,97930797140679E+000	 2,24808442325442E+001	-2,36928622762137E+000	2,24808442325442E+001	 2,04857828432346E+002	 0,00000000000000E+000	2,05141110417399E+002
                      	 8803	           4	 7,50000000000000E+000	-2,37500000000000E+000	 9,31665292092546E+000	-2,93315108265369E+001	9,70668228489696E+000	 8,32409151705841E+000	-1,31898546972565E+001	8,32409151705841E+000	 2,06786055732604E+002	 0,00000000000000E+000	2,07027570314734E+002
                      	 8804	           5	 7,50000000000000E+000	-2,50000000000000E+000	 1,37685997811041E+001	-3,00602555699591E+001	1,41919310635203E+001	-2,44094879580489E+000	-2,45273856995393E+001	0,00000000000000E+000	 2,07095731800975E+002	 0,00000000000000E+000	2,07278390102339E+002
           Plate\_1\_5	   80	           1	-7,50000000000000E+000	-2,50000000000000E+000	 1,51220921424124E+001	-3,00543947000259E+001	1,55435445584022E+001	 8,65257954145736E+000	 0,00000000000000E+000	2,35461187724082E+001	-2,07913161119892E+002	-2,08241439009808E+002	0,00000000000000E+000
 Element 14-22 (Plate)	   83	           2	-7,50000000000000E+000	-2,75000000000000E+000	 2,26066790193350E+001	-3,14648988782702E+001	2,29201412442731E+001	 3,79199834705382E+001	 0,00000000000000E+000	4,59617816029652E+001	-2,02058387357358E+002	-2,02058387357358E+002	0,00000000000000E+000
                (ERSS)	   82	           3	-7,50000000000000E+000	-3,00000000000000E+000	 2,87373940119157E+001	-3,28153934962627E+001	2,90086937631342E+001	 6,33463980193658E+001	 0,00000000000000E+000	6,53270737772695E+001	-1,89241376362782E+002	-1,89241376362782E+002	0,00000000000000E+000
                      	   81	           4	-7,50000000000000E+000	-3,25000000000000E+000	 3,35416708688033E+001	-3,41057554586462E+001	3,38211921280930E+001	 8,28545696177358E+001	 0,00000000000000E+000	8,35357366205574E+001	-1,70870789982078E+002	-1,70870789982078E+002	0,00000000000000E+000
                      	  188	           5	-7,50000000000000E+000	-3,50000000000000E+000	 3,70469433386466E+001	-3,53358616700635E+001	3,73696263522570E+001	 9,43672446954437E+001	 0,00000000000000E+000	9,46283217361603E+001	-1,48511733403488E+002	-1,48511733403488E+002	0,00000000000000E+000
           Plate\_2\_5	 8804	           1	 7,50000000000000E+000	-2,50000000000000E+000	 1,40163777027054E+001	-3,00630316501000E+001	1,44891554236714E+001	-7,25740954411658E+000	-2,36230863937624E+001	0,00000000000000E+000	 2,07095731800975E+002	 0,00000000000000E+000	2,07278390102339E+002
 Element 17-25 (Plate)	 8642	           2	 7,50000000000000E+000	-2,75000000000000E+000	 2,16310993223738E+001	-3,14734509494279E+001	2,20449658375132E+001	-3,61863457503575E+001	-4,55737917740492E+001	0,00000000000000E+000	 2,01610247984840E+002	 0,00000000000000E+000	2,01615454360809E+002
                (ERSS)	 8643	           3	 7,50000000000000E+000	-3,00000000000000E+000	 2,77226589436358E+001	-3,28238453183923E+001	2,80849363706563E+001	-6,11126695938028E+001	-6,58585083801310E+001	0,00000000000000E+000	 1,89316494695250E+002	 0,00000000000000E+000	1,89316494695250E+002
                      	 8644	           4	 7,50000000000000E+000	-3,25000000000000E+000	 3,24819184405327E+001	-3,41141013556232E+001	3,28155140692901E+001	-8,08147226285661E+001	-8,09808997009244E+001	0,00000000000000E+000	 1,71481973040778E+002	 0,00000000000000E+000	1,71481973040778E+002
                      	 9799	           5	 7,50000000000000E+000	-3,50000000000000E+000	 3,60997396871062E+001	-3,53441056597503E+001	3,64431459796041E+001	-9,40708464087607E+001	-9,41509790588785E+001	0,00000000000000E+000	 1,49465445976714E+002	 0,00000000000000E+000	1,49465445976714E+002
           Plate\_1\_6	  188	           1	-7,50000000000000E+000	-3,50000000000000E+000	 4,00436271953617E+001	-3,53367166604393E+001	4,03317928497430E+001	 9,95268695962246E+001	 0,00000000000000E+000	9,98717839726846E+001	-1,48511733403488E+002	-1,48511733403488E+002	0,00000000000000E+000
 Element 18-26 (Plate)	  191	           2	-7,50000000000000E+000	-3,87500000000000E+000	 3,87240278359847E+001	-3,70740525707471E+001	3,89848003837034E+001	 9,56483455576610E+001	 0,00000000000000E+000	9,56483455576610E+001	-1,11519839226198E+002	-1,11519839226198E+002	0,00000000000000E+000
                (ERSS)	  190	           3	-7,50000000000000E+000	-4,25000000000000E+000	 3,71996201750795E+001	-3,86814080881914E+001	3,74503156609274E+001	 8,26596698861409E+001	 0,00000000000000E+000	8,26596698861409E+001	-7,79959546542206E+001	-7,79959546542206E+001	0,00000000000000E+000
                      	  189	           4	-7,50000000000000E+000	-4,62500000000000E+000	 3,54960784045249E+001	-4,01567889156480E+001	3,57511829795831E+001	 6,42973308905917E+001	 0,00000000000000E+000	6,42973308905917E+001	-5,01821058408544E+001	-5,01821058408544E+001	0,00000000000000E+000
                      	  416	           5	-7,50000000000000E+000	-5,00000000000000E+000	 3,36390767161994E+001	-4,14982007559924E+001	3,39102466378391E+001	 4,42978168799408E+001	 0,00000000000000E+000	4,42978168799408E+001	-2,98951768653995E+001	-2,98951768653995E+001	0,00000000000000E+000
           Plate\_2\_6	 9799	           1	 7,50000000000000E+000	-3,50000000000000E+000	 3,90522239584540E+001	-3,53451787678518E+001	3,93919899338932E+001	-9,88682928167718E+001	-9,89746149603381E+001	0,00000000000000E+000	 1,49465445976714E+002	 0,00000000000000E+000	1,49465445976714E+002
 Element 21-29 (Plate)	 9800	           2	 7,50000000000000E+000	-3,87500000000000E+000	 3,77997433854282E+001	-3,70819408646495E+001	3,81204325987477E+001	-9,58139226326717E+001	-9,58139226326717E+001	0,00000000000000E+000	 1,12546240180556E+002	 0,00000000000000E+000	1,12546240180556E+002
                (ERSS)	 9801	           3	 7,50000000000000E+000	-4,25000000000000E+000	 3,63309262448860E+001	-3,86888605281650E+001	3,66387088501262E+001	-8,31738335485511E+001	-8,31738335485511E+001	0,00000000000000E+000	 7,88881526035366E+001	 0,00000000000000E+000	7,88881526035366E+001
                      	 9802	           4	 7,50000000000000E+000	-4,62500000000000E+000	 3,46733427045140E+001	-4,01641015223970E+001	3,49735305653735E+001	-6,48371118907351E+001	-6,48371118907351E+001	0,00000000000000E+000	 5,08631443639014E+001	 0,00000000000000E+000	5,08631443639014E+001
                      	10469	           5	 7,50000000000000E+000	-5,00000000000000E+000	 3,28545629319991E+001	-4,15058276113441E+001	3,31516096218343E+001	-4,46928439855488E+001	-4,46928439855488E+001	0,00000000000000E+000	 3,04005702195909E+001	 0,00000000000000E+000	3,04005702195909E+001
           Plate\_1\_7	  416	           1	-7,50000000000000E+000	-5,00000000000000E+000	 3,36642479197874E+001	-4,15120865427802E+001	3,39299226502527E+001	 4,60075835179308E+001	 0,00000000000000E+000	4,60075835179308E+001	-2,98951768653995E+001	-2,98951768653995E+001	0,00000000000000E+000
 Element 22-30 (Plate)	  419	           2	-7,50000000000000E+000	-5,13750000000000E+000	 3,29027797058095E+001	-4,20321753500855E+001	3,31706695468707E+001	 4,01364448912713E+001	 0,00000000000000E+000	4,01364448912713E+001	-2,39783125658874E+001	-2,39783125658874E+001	0,00000000000000E+000
                (ERSS)	  418	           3	-7,50000000000000E+000	-5,27500000000000E+000	 3,21465720289609E+001	-4,25384346962587E+001	3,24164454886882E+001	 3,46554561101426E+001	 0,00000000000000E+000	3,46554561101426E+001	-1,88401673714526E+001	-1,88401673714526E+001	0,00000000000000E+000
                      	  417	           4	-7,50000000000000E+000	-5,41250000000000E+000	 3,13959596037045E+001	-4,30305894891809E+001	3,16675735059139E+001	 2,95814684719486E+001	 0,00000000000000E+000	2,95814684719486E+001	-1,44272154329617E+001	-1,44272154329617E+001	0,00000000000000E+000
                      	  493	           5	-7,50000000000000E+000	-5,55000000000000E+000	 3,06512771445028E+001	-4,35083646367335E+001	3,09243766287566E+001	 2,49313332740933E+001	 0,00000000000000E+000	2,49313332740933E+001	-1,06854621098231E+001	-1,06854621098231E+001	0,00000000000000E+000
